"","X","sample","region","time","density","phenotype","patient"
"1",1,"pP1","reg001","pGBM",1.55675324998915e-06,"TCD4","P1"
"2",2,"pP1","reg001","pGBM",2.33512987498372e-06,"TCD8","P1"
"3",3,"pP1","reg001","pGBM",3.11350649997829e-06,"Monocyte","P1"
"4",4,"pP1","reg001","pGBM",8.63998053743976e-05,"Macrophages","P1"
"5",5,"pP1","reg001","pGBM",4.51458442496853e-05,"DC","P1"
"6",6,"pP1","reg001","pGBM",5.60431169996093e-05,"Microglia","P1"
"7",7,"pP1","reg002","pGBM",9.01728755025636e-05,"TCD4","P1"
"8",8,"pP1","reg002","pGBM",2.46741699136368e-05,"TCD8","P1"
"9",9,"pP1","reg002","pGBM",1.25613955923969e-05,"Monocyte","P1"
"10",10,"pP1","reg002","pGBM",6.95362970293401e-05,"Macrophages","P1"
"11",11,"pP1","reg002","pGBM",4.66566122003314e-05,"DC","P1"
"12",12,"pP1","reg002","pGBM",0.000305959706929096,"Microglia","P1"
"13",13,"pP2","reg002","pGBM",3.74569492973591e-05,"TCD4","P2"
"14",14,"pP2","reg002","pGBM",5.1411499035591e-06,"TCD8","P2"
"15",15,"pP2","reg002","pGBM",9.9885198126291e-05,"Monocyte","P2"
"16",16,"pP2","reg002","pGBM",0.000187284746486796,"Macrophages","P2"
"17",17,"pP2","reg002","pGBM",3.81913992835819e-05,"DC","P2"
"18",18,"pP2","reg002","pGBM",0.00244571845412168,"Microglia","P2"
"19",19,"pP2","reg003","pGBM",5.92862918112907e-05,"TCD4","P2"
"20",20,"pP2","reg003","pGBM",9.29981048020246e-06,"TCD8","P2"
"21",21,"pP2","reg003","pGBM",0.000165071636023594,"Monocyte","P2"
"22",22,"pP2","reg003","pGBM",0.000333630700977263,"Macrophages","P2"
"23",23,"pP2","reg003","pGBM",6.97485786015184e-06,"DC","P2"
"24",24,"pP2","reg003","pGBM",0.00398961869600685,"Microglia","P2"
"25",25,"pP2","reg004","pGBM",8.0959231783496e-06,"TCD4","P2"
"26",26,"pP2","reg004","pGBM",4.43969980748204e-06,"TCD8","P2"
"27",27,"pP2","reg004","pGBM",0.000101851936759882,"Monocyte","P2"
"28",28,"pP2","reg004","pGBM",0.00030790623958949,"Macrophages","P2"
"29",29,"pP2","reg004","pGBM",4.59639509480494e-05,"DC","P2"
"30",30,"pP2","reg004","pGBM",0.000440313757377336,"Microglia","P2"
"31",31,"pP3","reg003","pGBM",1.31946933460675e-05,"TCD4","P3"
"32",32,"pP3","reg003","pGBM",1.91095558805116e-05,"TCD8","P3"
"33",33,"pP3","reg003","pGBM",1.95645453062381e-05,"Monocyte","P3"
"34",34,"pP3","reg003","pGBM",0.000183815727993493,"Macrophages","P3"
"35",35,"pP3","reg003","pGBM",7.05233609876024e-06,"DC","P3"
"36",36,"pP3","reg003","pGBM",0.00159178050590405,"Microglia","P3"
"37",37,"pP4","reg008","pGBM",1.19128409847156e-05,"TCD4","P4"
"38",38,"pP4","reg008","pGBM",2.38256819694311e-05,"TCD8","P4"
"39",39,"pP4","reg008","pGBM",0,"Monocyte","P4"
"40",40,"pP4","reg008","pGBM",0,"Macrophages","P4"
"41",41,"pP4","reg008","pGBM",0,"DC","P4"
"42",42,"pP4","reg008","pGBM",0,"Microglia","P4"
"43",43,"pP5","reg001","pGBM",7.46718349490253e-06,"TCD4","P5"
"44",44,"pP5","reg001","pGBM",3.73359174745127e-05,"TCD8","P5"
"45",45,"pP5","reg001","pGBM",0,"Monocyte","P5"
"46",46,"pP5","reg001","pGBM",0,"Macrophages","P5"
"47",47,"pP5","reg001","pGBM",0,"DC","P5"
"48",48,"pP5","reg001","pGBM",0.000701915248520838,"Microglia","P5"
"49",49,"pP5","reg002","pGBM",1.56696147763651e-05,"TCD4","P5"
"50",50,"pP5","reg002","pGBM",8.77498427476447e-07,"TCD8","P5"
"51",51,"pP5","reg002","pGBM",1.78006823859508e-05,"Monocyte","P5"
"52",52,"pP5","reg002","pGBM",7.10773726255922e-05,"Macrophages","P5"
"53",53,"pP5","reg002","pGBM",1.62963993674197e-06,"DC","P5"
"54",54,"pP5","reg002","pGBM",0.000636061003002213,"Microglia","P5"
"55",55,"pP5","reg004","pGBM",2.57610307483018e-05,"TCD4","P5"
"56",56,"pP5","reg004","pGBM",3.26088996813946e-07,"TCD8","P5"
"57",57,"pP5","reg004","pGBM",2.86958317196273e-05,"Monocyte","P5"
"58",58,"pP5","reg004","pGBM",7.82613592353471e-05,"Macrophages","P5"
"59",59,"pP5","reg004","pGBM",3.26088996813946e-07,"DC","P5"
"60",60,"pP5","reg004","pGBM",0.000798918042194169,"Microglia","P5"
"61",61,"pP5","reg005","pGBM",7.12107503821192e-06,"TCD4","P5"
"62",62,"pP5","reg005","pGBM",0,"TCD8","P5"
"63",63,"pP5","reg005","pGBM",1.3563952453737e-05,"Monocyte","P5"
"64",64,"pP5","reg005","pGBM",3.15361894549385e-05,"Macrophages","P5"
"65",65,"pP5","reg005","pGBM",1.49203476991107e-05,"DC","P5"
"66",66,"pP5","reg005","pGBM",0.000665990065478486,"Microglia","P5"
"67",67,"pP7","reg001","pGBM",1.09836408005872e-05,"TCD4","P7"
"68",68,"pP7","reg001","pGBM",2.14314942450483e-06,"TCD8","P7"
"69",69,"pP7","reg001","pGBM",5.08997988319897e-06,"Monocyte","P7"
"70",70,"pP7","reg001","pGBM",8.97443821511397e-05,"Macrophages","P7"
"71",71,"pP7","reg001","pGBM",3.69693275727083e-05,"DC","P7"
"72",72,"pP7","reg001","pGBM",0.000410948902148801,"Microglia","P7"
"73",73,"pP7","reg002","pGBM",1.04743783236512e-05,"TCD4","P7"
"74",74,"pP7","reg002","pGBM",3.49145944121706e-06,"TCD8","P7"
"75",75,"pP7","reg002","pGBM",8.56994590116915e-06,"Monocyte","P7"
"76",76,"pP7","reg002","pGBM",7.14162158430762e-05,"Macrophages","P7"
"77",77,"pP7","reg002","pGBM",5.14196754070149e-05,"DC","P7"
"78",78,"pP7","reg002","pGBM",0.000133945080381236,"Microglia","P7"
"79",79,"pP7","reg003","pGBM",3.40442347719068e-05,"TCD4","P7"
"80",80,"pP7","reg003","pGBM",4.3544951452439e-06,"TCD8","P7"
"81",81,"pP7","reg003","pGBM",4.3544951452439e-06,"Monocyte","P7"
"82",82,"pP7","reg003","pGBM",7.52140070542128e-05,"Macrophages","P7"
"83",83,"pP7","reg003","pGBM",0.00020228609265633,"DC","P7"
"84",84,"pP7","reg003","pGBM",2.49393812863969e-05,"Microglia","P7"
"85",85,"pP7","reg004","pGBM",3.70228341665265e-06,"TCD4","P7"
"86",86,"pP7","reg004","pGBM",2.96182673332212e-06,"TCD8","P7"
"87",87,"pP7","reg004","pGBM",1.18473069332885e-05,"Monocyte","P7"
"88",88,"pP7","reg004","pGBM",7.99693217996973e-05,"Macrophages","P7"
"89",89,"pP7","reg004","pGBM",0.000509434198131405,"DC","P7"
"90",90,"pP7","reg004","pGBM",0.000319136830515459,"Microglia","P7"
"91",91,"pP7","reg006","pGBM",5.57872042334214e-06,"TCD4","P7"
"92",92,"pP7","reg006","pGBM",6.19857824815793e-07,"TCD8","P7"
"93",93,"pP7","reg006","pGBM",3.09928912407897e-07,"Monocyte","P7"
